ReportDate,API_WELLNO,FileNo,Company,WellName,Quarter,Section,Township,Range,County,FieldName,Pool,Oil,Wtr,Days,Runs,Gas,GasSold,Flared,Lat,Long
2015-05-01,33053043310000,23615,MUREX PETROLEUM CORPORATION,AMBER ELIZABETH  36-25H,SESW,36,151,101,MCK,ALEXANDER,BAKKEN,1525,1335,29,1686,1739,1519,0,47.8491404949616,-103.553341576165
2015-05-01,33053038990000,22021,STATOIL OIL & GAS LP,BILL  14-23 2TFH,SWSW,11,151,101,MCK,ALEXANDER,BAKKEN,1410,5805,31,1370,1721,1720,1,47.9074264464401,-103.579904322421
2015-05-01,33053048330000,25091,STATOIL OIL & GAS LP,BILL  14-23 3H,NWNE,14,151,101,MCK,ALEXANDER,BAKKEN,5035,12773,28,5087,3754,3249,505,47.9045530914511,-103.569154032074
2015-05-01,33053050010000,25645,STATOIL OIL & GAS LP,BILL  14-23 4TFH,NWNE,14,151,101,MCK,ALEXANDER,BAKKEN,2419,17671,31,2287,232,201,31,47.9045531484913,-103.569031623811
2015-05-01,33053048340000,25092,STATOIL OIL & GAS LP,BILL  14-23 5TFH,NWNE,14,151,101,MCK,ALEXANDER,BAKKEN,771,17718,31,729,53,46,7,47.9045530344109,-103.569276440338
2015-05-01,33053050000000,25644,STATOIL OIL & GAS LP,BILL  14-23 6H,NWNE,14,151,101,MCK,ALEXANDER,BAKKEN,5558,11971,31,5316,5196,4497,699,47.9045532055315,-103.568909215547
2015-05-01,33053039010000,22023,STATOIL OIL & GAS LP,BILL 14-23  1H,SWSW,11,151,101,MCK,ALEXANDER,BAKKEN,6848,6926,31,6748,8537,7791,746,47.9074840404539,-103.579846783007
2015-05-01,33053042390000,23319,STATOIL OIL & GAS LP,PORTER   35-26 #1TFH,SESW,35,151,101,MCK,ALEXANDER,BAKKEN,1763,5903,31,1708,2141,2140,1,47.8491888565863,-103.576798995147
2015-05-01,33053042400000,23320,STATOIL OIL & GAS LP,PORTER   35-26 #2H,SESW,35,151,101,MCK,ALEXANDER,BAKKEN,1973,3258,31,1925,2140,2139,1,47.8491889134726,-103.576921300683
2015-05-01,33053042380000,23302,STATOIL OIL & GAS LP,TIMBER CREEK  13-24 1TFH,NENW,13,151,101,MCK,ALEXANDER,BAKKEN,3123,6513,30,3200,3159,2580,579,47.9051857973339,-103.551310777781
2015-05-01,33053042370000,23301,STATOIL OIL & GAS LP,TIMBER CREEK  13-24 2H,NENW,13,151,101,MCK,ALEXANDER,BAKKEN,7669,7460,31,8009,8792,8638,154,47.9051851087079,-103.5511883745
2015-05-01,33053014360000,9132,"TAQA NORTH USA, INC.",SKEDSVOLD     23-6,SENW,23,151,101,MCK,ALEXANDER,DUPEROW,226,3,11,223,59,0,0,47.886693,-103.57491
2015-05-01,33053015410000,9617,"TAQA NORTH USA, INC.",BOLKEN     24-12,NWSW,24,151,101,MCK,ALEXANDER,MADISON,0,0,0,0,0,0,0,47.882622,-103.558708
2015-05-01,33053012110000,8165,"TAQA NORTH USA, INC.",SKEDSVOLD  1,SENE,23,151,101,MCK,ALEXANDER,MADISON,201,1392,22,337,93,0,0,47.8862073601492,-103.564744817384
2015-05-01,33053016070000,9844,"TAQA NORTH USA, INC.",SOVIG     25-2,NWNE,25,151,101,MCK,ALEXANDER,MADISON,0,0,0,0,0,0,0,47.875406,-103.5478
2015-05-01,33053026140000,15670,"TAQA NORTH USA, INC.",HANSEN  2-23,W2SE,23,151,101,MCK,ALEXANDER,RED RIVER,0,0,0,0,0,0,0,47.880860542873,-103.568864653431
2015-05-01,33053012110000,8165,"TAQA NORTH USA, INC.",SKEDSVOLD  1,SENE,23,151,101,MCK,ALEXANDER,RED RIVER,53,0,22,90,57,0,0,47.8862073601492,-103.564744817384
2015-05-01,33023008590000,23323,HUNT OIL COMPANY,ALEXANDRIA   1-33-28HTF,LOT3,1,160,101,DIV,ALEXANDRIA,BAKKEN,1147,1854,28,1009,1247,0,584,48.7188933269934,-103.677966532666
2015-05-01,33023012220000,28507,HUNT OIL COMPANY,ALEXANDRIA   161-100-21-16H-1,SWSE,21,161,100,DIV,ALEXANDRIA,BAKKEN,6386,8133,31,6129,3663,0,3370,48.7501126172812,-103.668312885958
2015-05-01,33023012200000,28501,HUNT OIL COMPANY,ALEXANDRIA   161-100-22-15H-1,SESW,22,161,100,DIV,ALEXANDRIA,BAKKEN,2847,3415,19,2916,1580,0,1113,48.750590754001,-103.65380316394
2015-05-01,33023010970000,26256,HUNT OIL COMPANY,ALEXANDRIA   161-100-24-13H-1,SESW,24,161,100,DIV,ALEXANDRIA,BAKKEN,3759,7653,31,3852,3023,1391,1156,48.7501792904821,-103.609886335862
2015-05-01,33023011690000,27725,HUNT OIL COMPANY,ALEXANDRIA   161-100-32-29H-1,SWSE,32,161,100,DIV,ALEXANDRIA,BAKKEN,2943,4523,31,2710,2450,0,1974,48.7210664252787,-103.691812040655
2015-05-01,33023010160000,25096,HUNT OIL COMPANY,ALEXANDRIA  1-26-35H,NENW,26,161,100,DIV,ALEXANDRIA,BAKKEN,2523,4343,31,2357,2892,2098,318,48.7489650583043,-103.631885407043
2015-05-01,33023011820000,27921,HUNT OIL COMPANY,ALEXANDRIA  161-100-17-20H-1,NENW,17,161,100,DIV,ALEXANDRIA,BAKKEN,5810,6458,31,6053,4244,0,3479,48.7781166992351,-103.698443446601
2015-05-01,33023010470000,25666,HUNT OIL COMPANY,ALEXANDRIA  161-100-18-19H-1,NENW,18,161,100,DIV,ALEXANDRIA,BAKKEN,2357,4236,31,2234,1060,0,584,48.777065448652,-103.718390659113
2015-05-01,33023010980000,26259,HUNT OIL COMPANY,ALEXANDRIA  161-100-23-14H-1,NENW,26,161,100,DIV,ALEXANDRIA,BAKKEN,4503,6942,31,4548,3662,1551,1635,48.7488408486698,-103.632319947206
2015-05-01,33023012210000,28502,HUNT OIL COMPANY,ALEXANDRIA  161-100-27-34H-1,SESW,22,161,100,DIV,ALEXANDRIA,BAKKEN,4832,6203,31,4476,2877,0,2040,48.7505901546712,-103.654238676889
2015-05-01,33023010480000,25667,HUNT OIL COMPANY,ALEXANDRIA  161-100-7-6H-1,NENW,18,161,100,DIV,ALEXANDRIA,BAKKEN,2911,5109,31,2732,1297,0,821,48.7773532491915,-103.718388668791
2015-05-01,33023011830000,27922,HUNT OIL COMPANY,ALEXANDRIA  161-100-8-5H-1,NENW,17,161,100,DIV,ALEXANDRIA,BAKKEN,5107,7869,31,4761,3042,0,2277,48.778118091659,-103.698879076359
2015-05-01,33023011050000,26475,MUREX PETROLEUM CORPORATION,GARY LEE  31-30H,SESW,31,161,100,DIV,ALEXANDRIA,BAKKEN,2250,4893,28,1966,1398,393,649,48.7212941915917,-103.717651145197
2015-05-01,33023011220000,26752,SM ENERGY COMPANY,MARVIN  14-34HS,SESW,34,162,100,DIV,ALEXANDRIA,BAKKEN,3221,4799,28,3244,2234,201,1936,48.808449902624,-103.653491544032
2015-05-01,33023011130000,26592,SM ENERGY COMPANY,PAUL  3-4HS,LOT3,4,161,100,DIV,ALEXANDRIA,BAKKEN,3049,5384,31,3205,2270,0,2177,48.8066851435003,-103.675346839092
2015-05-01,33023007890000,21888,SM ENERGY COMPANY,TOMLINSON  3-1HS,LOT3,1,161,100,DIV,ALEXANDRIA,BAKKEN,1981,2976,31,2020,1572,1266,202,48.8069363779827,-103.610843034562
2015-05-01,33023010360000,25533,SM ENERGY COMPANY,TOMLINSON  3-2HS,LOT3,2,161,100,DIV,ALEXANDRIA,BAKKEN,3256,5509,31,3224,2472,1905,392,48.8067859724642,-103.632012801051
2015-05-01,33061009980000,18024,"EOG RESOURCES, INC.",ROSS   10-18H,SWSE,18,156,92,MTL,ALGER,BAKKEN,1246,897,31,962,1519,1269,0,48.3279615678121,-102.553171638614
2015-05-01,33061013070000,18843,"EOG RESOURCES, INC.",ROSS   18-10H,SESE,10,156,92,MTL,ALGER,BAKKEN,822,595,31,936,713,401,0,48.3429394490341,-102.483575742975
2015-05-01,33061015310000,19722,"EOG RESOURCES, INC.",ROSS   29-1716H,NWNE,17,156,92,MTL,ALGER,BAKKEN,535,340,10,411,434,338,0,48.3408176723322,-102.534125698474
2015-05-01,33061008300000,17526,"EOG RESOURCES, INC.",ROSS   4-05H,SESE,5,156,92,MTL,ALGER,BAKKEN,977,799,31,743,1089,777,0,48.3569969699039,-102.527329776174
2015-05-01,33061011660000,18444,"EOG RESOURCES, INC.",ROSS  100-09H,SWSW,9,156,92,MTL,ALGER,BAKKEN,0,0,0,0,0,0,0,48.3426108016359,-102.520867152983
2015-05-01,33061009750000,17950,"EOG RESOURCES, INC.",ROSS  1-09H,SWSE,9,156,92,MTL,ALGER,BAKKEN,705,528,31,646,540,290,0,48.3425921368703,-102.510154982948
2015-05-01,33061010130000,18062,"EOG RESOURCES, INC.",ROSS  11-27H,SESE,27,156,92,MTL,ALGER,BAKKEN,1,0,1,0,0,0,0,48.2990408875929,-102.483636360585
2015-05-01,33061010340000,18118,"EOG RESOURCES, INC.",ROSS  12-06H,SESE,6,156,92,MTL,ALGER,BAKKEN,600,459,31,710,767,517,0,48.3570615279579,-102.549246608677
2015-05-01,33061013000000,18819,"EOG RESOURCES, INC.",ROSS  13-15H,SESE,15,156,92,MTL,ALGER,BAKKEN,773,530,31,710,878,628,0,48.3278428234195,-102.483801667803
2015-05-01,33061012850000,18763,"EOG RESOURCES, INC.",ROSS  15-28H,SESE,28,156,92,MTL,ALGER,BAKKEN,1186,513,31,977,1602,1290,0,48.2988356840539,-102.50498964682
2015-05-01,33061005310000,16587,"EOG RESOURCES, INC.",ROSS  20-16H,NWNW,16,156,92,MTL,ALGER,BAKKEN,1217,787,31,1073,1224,974,0,48.3408153839194,-102.520857217013
2015-05-01,33061011180000,18310,"EOG RESOURCES, INC.",ROSS  21-04H,LOT1,4,156,92,MTL,ALGER,BAKKEN,773,770,31,637,1359,1110,0,48.3720918724064,-102.50888366725
2015-05-01,33061014390000,19358,"EOG RESOURCES, INC.",ROSS  22-07H,SESE,7,156,92,MTL,ALGER,BAKKEN,1236,771,31,1165,1597,1349,0,48.3422822263551,-102.54894703329
2015-05-01,33061014940000,19560,"EOG RESOURCES, INC.",ROSS  27-2728H,SESW,27,156,92,MTL,ALGER,BAKKEN,1555,475,31,1538,1983,1733,0,48.2987530404806,-102.495676242556
2015-05-01,33061016590000,20295,"EOG RESOURCES, INC.",ROSS  28-1615H,NWNE,16,156,92,MTL,ALGER,BAKKEN,920,526,31,894,1126,876,0,48.3410170617144,-102.512424266463
2015-05-01,33061016600000,20296,"EOG RESOURCES, INC.",ROSS  30-0915H,NWNE,9,156,92,MTL,ALGER,BAKKEN,552,534,23,491,330,151,0,48.3555196943216,-102.513680054653
2015-05-01,33061009200000,17795,"EOG RESOURCES, INC.",ROSS  3-04H,LOT3,4,156,92,MTL,ALGER,BAKKEN,757,608,31,1014,953,641,0,48.3717602434638,-102.520251974017
2015-05-01,33061015200000,19679,"EOG RESOURCES, INC.",ROSS  31-0806H,SESW,8,156,92,MTL,ALGER,BAKKEN,1720,893,31,1673,1253,1003,0,48.3423937984333,-102.538267747116
2015-05-01,33061015420000,19767,"EOG RESOURCES, INC.",ROSS  32-1707H,SESW,17,156,92,MTL,ALGER,BAKKEN,1506,935,31,1562,1686,1436,0,48.3277945462087,-102.537945229584
2015-05-01,33061015450000,19793,"EOG RESOURCES, INC.",ROSS  33-0434H,SESW,4,156,92,MTL,ALGER,BAKKEN,1708,1371,31,1596,1824,1574,0,48.3576941576724,-102.516955298798
2015-05-01,33061015460000,19794,"EOG RESOURCES, INC.",ROSS  34-0533H,SESW,5,156,92,MTL,ALGER,BAKKEN,1780,909,31,1788,1371,1122,0,48.3567576905531,-102.538132005544
2015-05-01,33061015560000,19854,"EOG RESOURCES, INC.",ROSS  35-0331H,SESE,3,156,92,MTL,ALGER,BAKKEN,1919,1864,31,2114,2171,1921,0,48.3582824695515,-102.484358260846
2015-05-01,33061020170000,22354,"EOG RESOURCES, INC.",ROSS  36-1707H,SWSW,17,156,92,MTL,ALGER,BAKKEN,2649,1758,31,2836,3727,3487,0,48.3281995470213,-102.543300081962
2015-05-01,33061008320000,17531,"EOG RESOURCES, INC.",ROSS  5-08H,SWSE,8,156,92,MTL,ALGER,BAKKEN,937,596,31,962,1018,706,0,48.3425993798242,-102.532184376427
